Longitud,Latitud,2010_011,2010_012,2010_013,2010_010,2010_021,2010_022,2010_023,2010_020,2010_031,2010_032,2010_033,2010_030,2010_041,2010_042,2010_043,2010_040,2010_051,2010_052,2010_053,2010_050,2010_061,2010_062,2010_063,2010_060,2010_071,2010_072,2010_073,2010_070,2010_081,2010_082,2010_083,2010_080,2010_091,2010_092,2010_093,2010_090,2010_101,2010_102,2010_103,2010_100,2010_111,2010_112,2010_113,2010_110,2010_121,2010_122,2010_123,2010_120
-56.3333,-34.0,80.85327231,83.38178661,67.62063703,76.97347085,94.96184293,81.1210763,90.12437527,88.68788172,70.67610159,54.57093464,59.91502046,61.66243829999999,45.95211953,75.98704186,90.72684783,70.88866974,79.28826497,71.09718301,92.84336899,81.45585609,95.02019517,98.5656074,97.74540107,97.11040121,96.94372847,99.62350423,99.30381121,98.64562098,95.10573085,97.51471542,86.44203458,92.80860784,95.96477326,94.58947466,78.67611974,89.74345589,67.40859931,59.94422539,47.94307879,58.09361657,47.12941483,56.79998443,40.97740289,48.30226738,23.23684444,34.10895244,18.72598514,25.14334856
-56.0,-34.0,76.95267707,76.70854845,61.81701599,71.50320745,93.65055647,79.94520517,89.54582245,87.65069029,74.33076275,59.80616908,68.18581492,67.4649446,52.33458479,76.29177646,90.46009015,73.02881713,78.79272869,70.36172769,92.67209491,80.99798735,94.82656161,98.46356263,98.52151851,97.27054759,96.88713159,99.54968142,99.391634,98.63471304,95.80822679999999,97.21954639,85.37688659999999,92.56204789,96.21013029999999,94.24354038,79.04740557,89.83369208,69.96188936,56.02188234,43.72637681,56.15573748,46.51753126,54.72096887,37.138146299999995,46.12554881,20.39279768,34.13203738,22.47740766,25.5645108
-55.6667,-34.0,75.52346793,80.07358336,64.28633299,73.00387664,93.61060965,77.61692897,88.26827490000001,86.43758139,77.18958548,64.79146068,79.75325712,74.09988032,61.606438600000004,77.1505193,89.63755864,76.13150551,77.52477603,68.84457437,91.90701205,79.82808505,94.56875749999999,98.3051196,98.81253968,97.22880559,97.05708078,99.43445892,99.34041058,98.63419075,96.9797539,96.52060629,83.83075956,92.16586958,96.27744959,93.74550801,78.77978949,89.6009157,70.77311778,51.72808766,39.55292656,53.55142731,46.11773284,55.60462859,36.87501402,46.19912515,19.67599323,40.66623578,31.67443697,30.70455151
-55.3333,-34.0,69.4183073,73.60050356,57.8191377,66.65156849,93.33612577,72.2689555,84.9893518,83.48120617,67.61034524,58.30671181,77.39541866,68.08129599,53.23248409,72.60610891,86.78052821,70.87304041,71.28528168,61.40435382,89.16490201,74.442267,93.06315633,98.07868829,98.26049959999999,96.46744808,95.75182196,99.37718833,99.03213474,98.08527694,95.50460415,96.04733049,81.32955332,90.64982042,95.05661888,91.19578419,72.03771173,86.09670493,60.66681368,38.20060514,28.15070034,41.88167393,42.40497517,51.69380988,28.89031316,40.99636607,12.86487696,44.28737331,26.45430125,27.82321989
-55.0,-34.0,63.34840968,64.5839006,59.92242369,62.53128269,94.28322208,70.18296389,83.48723686,82.62231005,59.86599573,58.92155911,77.57685835,65.84583839999999,52.38415532,68.36535675,85.71087942,68.8201305,69.76627955,60.01414718,88.23572621,73.17410502,92.93790159999999,98.03788058,98.03373762,96.33650659999999,95.48777912,99.44207194,98.93619012,97.98698716,93.72264870000001,95.72047986,81.54804405,90.04708936,93.70911417,89.62215849,73.19572790000001,85.50900019,63.94357301,38.89402858,28.93238562,43.43975025,47.37703647,54.64621421,30.58122259,44.20149109,13.51868187,43.78177541,23.41772725,26.7935346
-54.6667,-34.0,63.01718623,61.50502127,59.22591937,61.18410284,94.52938996,73.80271359999999,85.80275105,84.67399293,64.5963006,64.06335554,82.32147546,70.71396101,61.40930885,72.38237758,89.44958376,74.41375673,77.07415013,69.02833323,90.60297668,79.27927668,94.72587445,98.50462762,98.46282604,97.23110937,96.77334696,99.55821534,99.19598921,98.53133885,94.19548413,96.33795005,85.67434058,91.86297059,94.45377479,91.0148964,78.76921553,88.07929557,71.15355294,48.75366701,37.52108992,51.9936835,49.78847756,58.27056628,40.12990917,49.39631767,22.00587157,41.12501781,25.56063137,29.43470448
-54.3333,-34.0,67.2609542,67.50205453,51.20748413,61.64233589999999,90.82368816,72.57130901,83.31987106,82.20099349,65.05907568,60.38748762,68.39152490000001,64.73459377,52.59065762,66.25738106,83.73195874,67.52666581,74.31815441,67.47788800000001,85.41630811,76.04967140000001,95.34710884,98.03454735,98.38839935,97.25668518,97.26592625,99.46989348,99.28381836,98.69290966,94.42162746,96.6230391,86.87970638,92.4555947,95.45863628,92.19484991,77.16341614,88.27230078,64.3235066,45.6001978,36.09375849,48.26672217,41.90624269,53.92416488,42.34860968,46.05967242,24.99607255,32.60214209,20.5271326,25.86389048
-54.0,-34.0,68.29434977,68.27768861,43.09481364,59.34720432,88.47264172,68.95119758,67.83931559,75.33766322,51.80391609,49.50493004,47.40999916,49.50317587,35.79182714,54.1271332,71.66046901,53.85980979,63.31086555,56.80764014,67.45160076,62.68234404,81.25350327,79.3738183,91.90290635,84.17674264,96.13572836,99.0254027,98.87737495,98.04072371,93.41227939,94.84079115,84.34823814,90.65681693,95.2516189,91.6324359,73.37423813,86.75276431,55.79234885,38.52214813,28.60024054,40.57250373,28.70172561,47.02546349,39.81504443,38.51407784,22.81603331,22.30370277,12.94972833,19.14981846
-53.6667,-34.0,72.39106686,65.58624574,43.28658471,59.86856638,86.21179811,73.09933121,65.80010858,75.35559553,51.80677324,49.01856006,43.61404258,48.00025166,34.72732233,49.99247294,63.23996303,49.31991944,56.82437987,51.96135934,56.26328355,55.05656488,67.60404786,64.12543841,80.85098129,70.86015585,89.95093409,93.88389667,99.07882682,94.45856137,94.48772679,95.31087327,86.13032690000001,91.78772892,95.90267388,92.69542356,76.95098994,88.51636246,60.19157005,44.36706309,31.82386692,45.02093121,26.04143403,47.00210264,42.78618371,38.60990679,27.09705674,20.43231813,12.58848009,19.79893644
-53.3333,-34.0,68.93780094,55.80394369,33.76618251,52.22082109,83.44870209999999,69.34194707,62.54486845,72.09690716,46.56099935,43.80613278,40.98407312,43.69342341,31.43771052,49.64327487,64.35728416,48.47942318,56.47925401,51.32630967,55.65372945,54.52408583,70.46400272,64.87638682,83.72502383,73.02180446,92.73661108,95.78123825,98.99713593,95.94022544,93.50492942,94.35784009999999,82.83111899,89.99258078,95.03089012,91.19263459,73.19328192,86.47226888,54.69733956,38.23726156,25.00812607,38.85275477,19.75683147,52.11540432,47.00671919,39.62631832,27.32354026,16.34977938,8.974920904,17.27281698
-58.3333,-33.6667,89.73010558,85.90052476,58.00639846,77.23795763,80.555966,87.86688962,91.92559885,86.60548089,82.67210951,70.64182271,67.40339651,73.37344141,53.56931548,65.04185832,63.35943727,60.65687035,55.50487311,50.37632317,79.4553468,62.34905734,94.92552484,98.06998907,96.61619906,96.53723766,97.18494899,99.08543758,98.49666823,98.26345859,95.36400965,95.59749638,85.41831363,91.91020999999999,96.47730429,94.34988965,80.64243149,90.48987514,72.07460161,68.97132506,56.3694645,65.50075407,47.85832898,42.84927502,30.422005900000002,40.37653664,19.9031758,21.18194056,13.58499536,18.07374557
-58.0,-33.6667,84.24714975,84.37717714,56.28387854,74.36664299,87.94389028,84.85068852,91.25709855,87.90550603,84.75092148,71.31952336,71.49325547,75.71387931,55.79818456,71.46118638,69.90736248,65.72224448,60.73129832,54.88774539,83.11748565,66.78976707,95.38146292,98.04914611,96.25796873,96.56285925,96.26381115,99.31795546,98.32863217,97.98169742,94.93901947,96.53626235,86.04435937,92.29808939,96.36871087,93.96772583,79.16465889,89.83369853,71.09719138,68.53168381,55.53731746,64.74836271,47.67296771,43.12408613,29.73813273,40.17839552,18.67694894,22.97961661,13.76824206,18.32310704
