id,Longitud,Latitud,2024_011,2024_012,2024_013,2024_010,2024_021,2024_022,2024_023,2024_020,2024_031,2024_032,2024_033,2024_030,2024_041,2024_042,2024_043,2024_040,2024_051,2024_052,2024_053,2024_050,2024_061,2024_062,2024_063,2024_060,2024_071,2024_072,2024_073,2024_070,2024_081,2024_082,2024_083,2024_080,2024_091,2024_092,2024_093,2024_090,2024_101,2024_102,2024_103,2024_100,2024_111,2024_112,2024_113,2024_110,2024_121,2024_122,2024_123,2024_120
134,-53.666499972343445,-34.0,57.912879943847656,66.31331634521484,61.35940933227539,61.84566116333008,40.04788589477539,52.15220260620117,54.86545944213867,48.82034683227539,62.00699996948242,84.24139404296875,86.24311828613281,77.779296875,94.8900146484375,94.80364990234376,97.1403579711914,95.61134338378906,99.2210693359375,98.8316421508789,99.1540298461914,99.0716552734375,99.02401733398438,98.61418914794922,97.03460693359376,98.22427368164062,90.44129943847656,88.22276306152344,86.37398529052734,88.28240203857422,86.52033233642578,84.54737854003906,95.5586929321289,89.09105682373047,95.82600402832033,97.08609008789062,96.50779724121094,96.47329711914062,90.14580535888672,79.51830291748047,82.63521575927734,84.05252838134766,77.74710845947266,69.3099365234375,61.81579208374024,69.62428283691406,86.34475708007812,89.69096374511719,66.16844940185547,80.26484680175781
135,-53.33350002765656,-34.0,55.50597381591797,63.89435958862305,58.143592834472656,59.14783477783203,35.92820739746094,53.18862915039063,53.18387985229492,47.23528671264648,65.31944274902344,93.95594024658205,84.2066650390625,81.25894165039062,95.58303833007812,95.41071319580078,97.66886138916016,96.22087097167967,99.09162139892578,98.44279479980467,98.96761322021484,98.83831787109376,98.78298950195312,98.46282958984376,96.42250061035156,97.88943481445312,88.41719818115234,85.34051513671875,81.90060424804688,85.11238098144531,84.6423568725586,84.26319122314453,94.74244689941406,88.10395050048828,95.23497772216795,96.5219268798828,96.1964874267578,95.98445892333984,89.72440338134766,81.90390014648438,86.55957794189453,86.07865905761719,79.60055541992188,69.60405731201172,61.697792053222656,70.3008041381836,87.79847717285156,88.46925354003906,62.51951217651367,79.0448989868164
136,-54.33350002765656,-33.666499972343445,60.54585266113281,63.5239143371582,52.90134048461914,58.79394912719727,35.18099594116211,49.11729431152344,47.837867736816406,43.91461181640625,63.689571380615234,95.47806549072266,86.684814453125,82.10352325439453,96.37781524658205,95.69820404052734,98.41799926757812,96.83133697509766,99.37360382080078,98.33990478515624,98.73616790771484,98.81396484375,98.9666976928711,98.5929718017578,96.1323013305664,97.89732360839844,88.23041534423828,85.65393829345703,86.12308502197266,86.65153503417969,91.9320068359375,89.867431640625,95.2647705078125,92.4486083984375,95.02879333496094,95.857421875,96.48342895507812,95.78987884521484,91.18780517578124,80.034912109375,87.02424621582031,86.11270904541016,75.77420806884766,61.94166564941406,61.68027114868164,66.46538543701172,87.2617416381836,87.2562026977539,62.295860290527344,78.40109252929688
137,-54.666499972343445,-33.333500027656555,44.594505310058594,44.76055145263672,36.1518440246582,41.652286529541016,21.6879940032959,28.812837600708008,38.274505615234375,29.292375564575195,57.612548828125,77.28923797607422,85.14644622802734,73.7299575805664,94.13986206054688,92.73863220214844,93.2922821044922,93.3902587890625,98.97129821777344,97.7159652709961,98.46340942382812,98.3861312866211,97.63777160644533,97.4727783203125,95.70308685302734,96.93788146972656,85.68167877197266,82.00146484375,81.22837829589844,82.914306640625,87.75785064697266,85.77098846435547,93.4214859008789,89.1266098022461,94.47510528564452,95.99520874023438,96.78250122070312,95.75093841552734,85.93360900878906,72.67822265625,81.12236785888672,79.9504623413086,61.32081604003906,43.55995559692383,38.77687072753906,47.88588333129883,78.5897216796875,86.5304946899414,55.9564208984375,73.12008666992188
138,-54.666499972343445,-33.00000002980232,35.02368927001953,38.38369369506836,33.86366271972656,35.69593811035156,19.11357879638672,36.80249786376953,44.20419692993164,32.99995040893555,58.60606384277344,76.43694305419922,81.17095947265625,72.36486053466797,93.75218963623048,91.94839477539062,94.63026428222656,93.44361877441406,98.87871551513672,97.0146484375,98.18567657470705,98.03148651123048,95.70790100097656,97.07576751708984,95.8551254272461,96.21292877197266,84.88997650146484,79.69335174560547,78.68681335449219,81.01251983642578,87.45154571533203,85.65127563476562,92.54013061523438,88.67643737792969,93.0873031616211,95.33023834228516,95.60537719726562,94.67430877685548,85.08015441894531,77.95506286621094,83.4112319946289,82.18953704833984,67.91267395019531,51.670166015625,55.12739944458008,58.23674392700195,88.46095275878906,85.22110748291016,56.35578536987305,76.02368927001953
139,-54.0,-33.666499972343445,66.92672729492188,71.11275482177734,63.00716400146485,66.88624572753906,44.99338912963867,52.001953125,50.38423538208008,49.08315658569336,63.98361587524414,93.60587310791016,88.82777404785156,82.35485076904297,96.8876495361328,96.70501708984376,98.4668426513672,97.3531723022461,99.52703857421876,98.71681213378906,99.13646697998048,99.12708282470705,99.20711517333984,98.91957092285156,97.15055847167967,98.42575073242188,91.05613708496094,88.75741577148438,86.79821014404297,88.8037338256836,92.22977447509766,92.12197875976562,96.21964263916016,93.61075592041016,97.01203918457033,97.55847930908205,97.40652465820312,97.32568359375,93.12747955322266,86.91593170166016,90.51810455322266,90.19784545898438,84.03598022460938,73.19673919677734,69.2077407836914,75.48015594482422,89.52831268310547,92.42478942871094,71.14038848876953,83.93791198730469
140,-54.33350002765656,-33.00000002980232,38.087310791015625,43.33273315429688,38.25985336303711,39.840606689453125,21.28644371032715,36.835540771484375,47.821022033691406,34.88307189941406,65.81510162353516,83.29630279541016,79.73296356201172,76.39279174804688,93.26235961914062,91.9052505493164,94.5443878173828,93.23733520507812,98.90965270996094,97.46178436279295,98.08837127685548,98.15117645263672,96.59998321533205,97.05809020996094,95.67024230957033,96.4427719116211,84.344970703125,79.82081604003906,78.77609252929688,80.90951538085938,85.77168273925781,84.16275787353516,92.26734161376952,87.55758666992188,92.94550323486328,95.32618713378906,95.5821533203125,94.61795043945312,85.50513458251953,77.04461669921875,85.37753295898438,82.73065948486328,63.70181274414063,48.34268951416016,50.444969177246094,54.16315841674805,88.66000366210938,85.80139923095703,53.04861068725586,75.10157012939453
141,-54.99999997019768,-32.66650000214577,43.392765045166016,43.703651428222656,36.91857147216797,41.19575500488281,23.289257049560547,45.55809783935547,50.32494735717773,39.35855484008789,68.71710968017578,94.3027572631836,83.67920684814453,82.27967071533203,93.87994384765624,94.16290283203124,94.36186981201172,94.13490295410156,99.16984558105467,96.72581481933594,98.81586456298828,98.25584411621094,96.73416900634766,97.61514282226562,96.8576431274414,97.06898498535156,88.38981628417969,83.61612701416016,81.78751373291016,84.50716400146484,87.20904541015625,88.63317108154297,94.59626770019533,90.28971099853516,95.1534194946289,96.08516693115234,94.93991088867188,95.39282989501952,92.3260269165039,85.19953155517578,87.59566497802734,88.34864044189453,80.9955062866211,63.70723724365234,56.460487365722656,67.05441284179688,82.92111206054688,84.75129699707031,60.81023788452149,75.66569519042969
142,-54.666499972343445,-32.66650000214577,42.00349044799805,39.612491607666016,33.28142547607422,38.13727569580078,20.529905319213867,31.98420524597168,36.693695068359375,29.49601173400879,49.744407653808594,78.31741333007812,83.91557312011719,71.08676147460938,94.46984100341795,93.05764770507812,95.07686614990234,94.20145416259766,99.12908935546876,97.18258666992188,98.94344329833984,98.43531036376952,96.25173950195312,97.55740356445312,96.95355987548828,96.9208984375,88.50621795654297,83.61315155029297,78.62508392333984,83.42160034179688,85.4931411743164,87.95344543457031,93.53166198730467,89.13916778564453,92.15619659423828,96.16370391845705,95.00387573242188,94.44125366210938,90.45726013183594,86.21434783935547,88.08907318115234,88.24825286865234,71.09667205810547,56.51554107666016,54.5263786315918,60.71286392211914,83.38565826416016,83.70263671875,59.49460983276367,75.01043701171875
143,-54.666499972343445,-32.33349999785423,54.76908874511719,50.35847473144531,42.84200668334961,49.11412048339844,29.465145111083984,33.11093521118164,40.4934196472168,34.14488220214844,55.38069915771485,76.65308380126953,88.26172637939453,73.91021728515625,96.1718978881836,95.8146514892578,94.3882827758789,95.45828247070312,99.42120361328124,97.99402618408205,99.30010223388672,98.91785430908205,97.4868621826172,98.2641143798828,97.97274780273438,97.90790557861328,92.05311584472656,88.39456939697266,84.47793579101562,88.18497467041016,89.84383392333984,91.955078125,96.05523681640624,92.72892761230467,95.88658142089844,96.8991241455078,97.09361267089844,96.62643432617188,93.71541595458984,91.93218994140624,91.19525909423828,92.24593353271484,81.73487854003906,66.37751007080078,57.98707962036133,68.69982147216797,82.10570526123047,79.07881164550781,66.63011169433594,75.63794708251953
