ObjectID,GlobalID,Número de informe MIRA,Tipo de incendio,Fecha de registro del evento,Departamento,Fuente,Área,CreationDate,Creator,EditDate,Editor,x,y,link fuente,,,,,,,
112,ef370a8a-ecac-4b03-a73a-fe0db497ada3,1056,De_Campo,17-Jun-22,Soriano,sgsp,40,6/28/2022 19:31,sinae_covid_19,6/28/2022 19:31,sinae_covid_19,-58.0357769,-33.27583985,,,,,,,,
85,77430176-59d0-4641-9b1e-3827b7440173,513,Forestal_Plantado,1-Feb-20,Lavalleja,cecoed,40,6/9/2022 15:59,sinae_covid_19,6/9/2022 16:05,sinae_covid_19,-55.39501348,-34.41165496,,,,,,,,
70,c57e67dc-6c52-4f9e-805f-3f45bb973e4c,912,De_Campo,2-Dec-21,Colonia,sgsp,31,5/30/2022 18:56,sinae_covid_19,5/30/2022 18:56,sinae_covid_19,-57.67571063,-34.3240938,,,,,,,,
113,fcddcccf-5e8c-475f-ba8a-c26aff49d1ca,1060,De_Campo,26-Jun-22,Rio_Negro,sgsp,30,6/28/2022 19:42,sinae_covid_19,6/28/2022 19:42,sinae_covid_19,-58.09531491,-33.18854964,,,,,,,,
10,42b242bf-d369-4a63-bf21-2b36b56596f4,970,De_Campo,14-Jan-22,Rocha,sgsp,30,5/25/2022 12:52,sinae_covid_19,5/25/2022 12:52,sinae_covid_19,-53.76296885,-33.24795243,,,,,,,,
89,fa26ad75-5bd5-450f-a663-63da351deef6,517,Forestal_Plantado,3-Feb-20,Maldonado,cecoed,30,6/9/2022 16:21,sinae_covid_19,6/9/2022 16:21,sinae_covid_19,-54.82722338,-34.89931617,,,,,,,,
49,e969d58a-23d1-4e28-9c3e-0127f3d561e0,827,Forestal_Plantado,29-Dec-21,Rio_Negro,cecoed,20,5/26/2022 16:18,sinae_covid_19,5/26/2022 16:18,sinae_covid_19,-57.96093782,-32.85005047,,,,,,,,
64,45496126-fb46-46f0-8654-3613c5df6630,916,Interface_Urbana,14-Dec-21,Canelones,sgsp,15,5/27/2022 16:09,sinae_covid_19,5/27/2022 16:09,sinae_covid_19,-55.75908,-34.76746,,,,,,,,
66,fa43da13-69d2-4332-b63c-dc218f427a5f,913,De_Campo,3-Dec-21,Rio_Negro,sgsp,10,5/27/2022 16:24,sinae_covid_19,5/27/2022 16:24,sinae_covid_19,-57.45545,-32.85738,,,,,,,,
46,b90c6dd5-1a3c-4790-b539-1482db8e5485,937,De_Campo,29-Dec-21,Florida,sgsp,5,5/26/2022 14:48,sinae_covid_19,5/26/2022 14:48,sinae_covid_19,-55.46611957,-33.66619933,,,,,,,,
62,139c70d2-841c-489f-a0b5-bb0fdcb81a57,918,De_Campo,15-Dec-21,Soriano,sgsp,5,5/27/2022 16:00,sinae_covid_19,5/27/2022 16:00,sinae_covid_19,-58.1053183,-33.6987615,,,,,,,,
